"Add Option","Add Option"
"Sort Option","Sort Option"
Delete,Delete
"Manage Tooltip","Manage Tooltip"
"No attributes for this order","No attributes for this order"
"Additional Information:","Additional Information:"
label,label
"Additional Info","Additional Info"
"Edit Amasty Order Attributes","Edit Amasty Order Attributes"
"Checkout Settings","Checkout Settings"
"Display Attribute Values in the Order Summary","Display Attribute Values in the Order Summary"
"Date Format","Date Format"
"Format of date for outputting values","Format of date for outputting values"
"Time Format","Time Format"
"Include Order Attributes into Emails","Include Order Attributes into Emails"
"Send Attributes on Shipping Step","Send Attributes on Shipping Step"
"Set `No` to prevent validation on Shipping Step (One Step Checkout better compatibility)","Set `No` to prevent validation on Shipping Step (One Step Checkout better compatibility)"
"Newsletter Subscription","Newsletter Subscription"
"Set an attribute code of order attribute (Yes/No or Checkbox)","Set an attribute code of order attribute (Yes/No or Checkbox)"
"PDF Documents","PDF Documents"
"Include Order Attributes into Shipment (packing slip)","Include Order Attributes into Shipment (packing slip)"
"Include Order Attributes into Invoice","Include Order Attributes into Invoice"
"Order Attributes in the Invoices and Shipments","Order Attributes in the Invoices and Shipments"
"Display Order Attributes on the Invoice Grid","Display Order Attributes on the Invoice Grid"
"Display Order Attributes when Creating an Invoice","Display Order Attributes when Creating an Invoice"
"Display Order Attributes when Viewing an Invoice","Display Order Attributes when Viewing an Invoice"
"Display Order Attributes on the Shipments Grid","Display Order Attributes on the Shipments Grid"
"Display Order Attributes when Creating a Shipment","Display Order Attributes when Creating a Shipment"
"Display Order Attributes when Viewing a Shipment","Display Order Attributes when Viewing a Shipment"
"Text Field","Text Field"
Alphanumeric,Alphanumeric
"Numeric Only","Numeric Only"
"Alpha Only","Alpha Only"
URL,URL
Email,Email
"Strip HTML Tags","Strip HTML Tags"
"Escape HTML Entities","Escape HTML Entities"
"Text Area","Text Area"
Date,Date
"Date With Time","Date With Time"
Dropdown,Dropdown
"Multiple Select","Multiple Select"
Yes/No,Yes/No
"Radio Buttons","Radio Buttons"
"Checkbox Group","Checkbox Group"
Html,Html
"Order Attributes Grid by Amasty","Order Attributes Grid by Amasty"
"Rebuild Sales grid index by Amasty","Rebuild Sales grid index by Amasty"
"Add New Order Attribute","Add New Order Attribute"
"Attribute ID","Attribute ID"
"Attribute Code","Attribute Code"
"Attribute Label","Attribute Label"
Visible,Visible
"Is Required","Is Required"
"Checkout Step","Checkout Step"
"Include Into PDFs","Include Into PDFs"
"Appy Default","Appy Default"
"Show on Grid","Show on Grid"
Position,Position
"Order Attributes Relation","Order Attributes Relation"
Back,Back
"Relation Information","Relation Information"
"Relation Name","Relation Name"
"For internal use","For internal use"
"Parent Attribute","Parent Attribute"
"Attribute Options","Attribute Options"
"Dependent Attributes","Dependent Attributes"
"Please, be aware that dependent attributes should be configured at the same checkout steps as the parent attribute.","Please, be aware that dependent attributes should be configured at the same checkout steps as the parent attribute."
"Add New Relation","Add New Relation"
"Attribute Codes","Attribute Codes"
